Model,Accuracy,Precision,F1_Score
RandomForest,0.6771523178807947,0.6607142857142857,0.5323741007194245
LogisticRegression,0.6026490066225165,0.8461538461538461,0.08396946564885496
SVM,0.5877483443708609,0.0,0.0
DecisionTree,0.6109271523178808,0.528,0.5290581162324649
NaiveBayes,0.6059602649006622,0.5504587155963303,0.33519553072625696
KNN,0.5579470198675497,0.45263157894736844,0.3917995444191344
